iter	Passed	Remaining
789	2360	627
790	2363	624
791	2365	621
792	2368	618
793	2370	615
794	2373	612
795	2376	608
796	2378	605
797	2381	602
798	2383	599
799	2386	596
800	2389	593
801	2391	590
802	2394	587
803	2397	584
804	2399	581
805	2402	578
806	2405	575
807	2407	572
808	2410	569
809	2412	565
810	2415	562
811	2418	559
812	2420	556
813	2423	553
814	2425	550
815	2428	547
816	2430	544
817	2433	541
818	2435	538
819	2438	535
820	2440	532
821	2443	529
822	2446	526
823	2448	522
824	2451	519
825	2453	516
826	2455	513
827	2458	510
828	2460	507
829	2463	504
830	2466	501
831	2468	498
832	2471	495
833	2473	492
834	2476	489
835	2478	486
836	2481	483
837	2483	480
838	2486	477
839	2488	474
840	2491	470
841	2493	467
842	2496	464
843	2498	461
844	2501	458
845	2503	455
846	2506	452
847	2509	449
848	2511	446
849	2514	443
850	2516	440
851	2519	437
852	2521	434
853	2524	431
854	2527	428
855	2530	425
856	2532	422
857	2535	419
858	2537	416
859	2540	413
860	2543	410
861	2545	407
862	2548	404
863	2550	401
864	2552	398
865	2555	395
866	2557	392
867	2560	389
868	2562	386
869	2565	383
870	2567	380
871	2570	377
872	2573	374
873	2575	371
874	2578	368
875	2580	365
876	2583	362
877	2586	359
878	2588	356
879	2591	353
880	2594	350
881	2597	347
882	2599	344
883	2602	341
884	2605	338
885	2607	335
886	2610	332
887	2613	329
888	2616	326
889	2618	323
890	2621	320
891	2623	317
892	2626	314
893	2629	311
894	2632	308
895	2634	305
896	2637	302
897	2640	299
898	2642	296
899	2645	293
900	2648	291
901	2651	288
902	2653	285
903	2656	282
904	2658	279
905	2661	276
906	2665	273
907	2667	270
908	2670	267
909	2672	264
910	2675	261
911	2678	258
912	2681	255
913	2684	252
914	2686	249
915	2689	246
916	2692	243
917	2694	240
918	2697	237
919	2699	234
920	2702	231
921	2705	228
922	2707	225
923	2710	222
924	2712	219
925	2715	217
926	2718	214
927	2721	211
928	2724	208
929	2726	205
930	2729	202
931	2731	199
932	2734	196
933	2737	193
934	2740	190
935	2743	187
936	2745	184
937	2748	181
938	2751	178
939	2754	175
940	2757	172
941	2760	169
942	2762	166
943	2765	164
944	2770	161
945	2774	158
946	2778	155
947	2782	152
948	2788	149
949	2792	146
950	2796	144
951	2800	141
952	2803	138
953	2806	135
954	2810	132
955	2814	129
956	2818	126
957	2821	123
958	2824	120
959	2827	117
960	2830	114
961	2833	111
962	2836	108
963	2839	106
964	2842	103
965	2844	100
966	2847	97
967	2851	94
968	2854	91
969	2857	88
970	2860	85
971	2865	82
972	2869	79
973	2872	76
974	2875	73
975	2879	70
976	2885	67
977	2889	64
978	2892	62
979	2895	59
980	2899	56
981	2902	53
982	2904	50
983	2907	47
984	2910	44
985	2914	41
986	2917	38
987	2920	35
988	2923	32
989	2926	29
990	2931	26
991	2934	23
992	2938	20
993	2941	17
994	2944	14
995	2948	11
996	2951	8
997	2954	5
998	2957	2
999	2961	0
